SD tapang sebeluh;;Sekolah Dasar;QQPJ+QJ;QQPJ+QJ;https://www.google.com/maps/place/SD+tapang+sebeluh/data=!4m7!3m6!1s0x31fc3fdc40f2d937:0x68fc8f59a556fc33!8m2!3d0.7869944!4d110.7815291!16s%2Fg%2F11stvkt77b!19sChIJN9nyQNw__DERM_xWpVmP_Gg?authuser=0&hl=id&rclk=1;3,7 bintang 3 Ulasan
SD NEGERI 8 RIYAI;;Sekolah Dasar;C6JH+CV;C6JH+CV;https://www.google.com/maps/place/SD+NEGERI+8+RIYAI/data=!4m7!3m6!1s0x31fd0500019706b1:0xe8db062e3163096!8m2!3d0.4310172!4d110.2296733!16s%2Fg%2F11vqp8jgv9!19sChIJsQaXAQAF_TERljAW42KwjQ4?authuser=0&hl=id&rclk=1;
SD NEGERI 05 LOMUR;;Sekolah Dasar;R96V+P5Q;;https://www.google.com/maps/place/SD+NEGERI+05+LOMUR/data=!4m7!3m6!1s0x31fc5ef7b6936bf5:0xb2711f85d09115d7!8m2!3d0.8118439!4d110.3929806!16s%2Fg%2F11gfngt15l!19sChIJ9WuTtvde_DER1xWR0IUfcbI?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD Negeri 17 Jamu;;Sekolah Dasar;GG5W+XF7;GG5W+XF7;https://www.google.com/maps/place/SD+Negeri+17+Jamu/data=!4m7!3m6!1s0x31fdb23ff778463d:0x713c4f6ac2f50809!8m2!3d0.5099004!4d110.5461662!16s%2Fg%2F11gh47zxbr!19sChIJPUZ49z-y_TERCQj1wmpPPHE?authuser=0&hl=id&rclk=1;
SEKOLAH DASAR NEGERI;;Sekolah Dasar;R88X+56P;;https://www.google.com/maps/place/SEKOLAH+DASAR+NEGERI/data=!4m7!3m6!1s0x31fc5f9dd2664cfb:0x315ea414416f39af!8m2!3d0.8154518!4d110.3480907!16s%2Fg%2F11gg6nb9zw!19sChIJ-0xm0p1f_DERrzlvQRSkXjE?authuser=0&hl=id&rclk=1;
SD MIS ruis;;Sekolah Dasar;QFP5+XPP;;https://www.google.com/maps/place/SD+MIS+ruis/data=!4m7!3m6!1s0x31fc5c6fb1e8e7a3:0xa65cc4521599c5f!8m2!3d0.7874516!4d110.4593138!16s%2Fg%2F11bvvx_zz3!19sChIJo-fosW9c_DERX5xZIUXMZQo?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD Negeri 7 Empodis;;Sekolah Dasar;CGGX+385;;https://www.google.com/maps/place/SD+Negeri+7+Empodis/data=!4m7!3m6!1s0x31fdb0748a082c65:0x8f1c4c253d5aa268!8m2!3d0.4251386!4d110.5483595!16s%2Fg%2F11gh47_h85!19sChIJZSwIinSw_TERaKJaPSVMHI8?authuser=0&hl=id&rclk=1;5,0 bintang 2 Ulasan
SD NEGERI 26 SUNGAI DAUN;;Sekolah Dasar;QMMF+FHC Sungai Daun;;https://www.google.com/maps/place/SD+NEGERI+26+SUNGAI+DAUN/data=!4m7!3m6!1s0x31fc3f01e71f2925:0x1573789b4d3aa308!8m2!3d0.7934979!4d110.7360863!16s%2Fg%2F11td37x_hz!19sChIJJSkf5wE__DERCKM6TZt4cxU?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
SD Negeri 03 2015;;Sekolah Dasar;IV;0822-5262-6009;https://www.google.com/maps/place/SD+Negeri+03+2015/data=!4m7!3m6!1s0x31fc5de6dc96c66d:0xf4ebd9e33e133830!8m2!3d0.8172191!4d110.4679176!16s%2Fg%2F11bc7szfxs!19sChIJbcaW3OZd_DERMDgTPuPZ6_Q?authuser=0&hl=id&rclk=1;4,8 bintang 5 Ulasan
SD MINI dusun Dasan Desa Empoto;;Sekolah Dasar;MGW8+8X;MGW8+8X;https://www.google.com/maps/place/SD+MINI+dusun+Dasan+Desa+Empoto/data=!4m7!3m6!1s0x31fc512f2f2e5cb9:0xf2c2850d4bb5903e!8m2!3d0.6958294!4d110.5174707!16s%2Fg%2F11tjw612ln!19sChIJuVwuLy9R_DERPpC1Sw2FwvI?authuser=0&hl=id&rclk=1;5,0 bintang 1 Ulasan
